
60538,46,N/A,209
60540,41,N/A,440
60542,25,N/A,171
60543,60,N/A,285
60544,62,N/A,455
60545,16,N/A,80
60546,64,N/A,321
60548,9,N/A,69
60551,15,N/A,27
60554,10,N/A,90
60555,33,N/A,128
60558,16,N/A,144
60559,108,N/A,326
60560,26,N/A,146
60561,53,N/A,296
60563,49,N/A,367
60564,57,N/A,386
60565,81,N/A,355
60585,39,N/A,230
60586,116,N/A,675
60601,38,N/A,216
60604,6,N/A,25
60605,95,N/A,509
60606,25,N/A,168
60607,186,N/A,729
60608,505,N/A,1602
60609,430,N/A,1243
60610,118,N/A,624
60611,80,N/A,588
60612,310,N/A,1417
60613,192,N/A,759
60614,218,N/A,1042
60615,205,N/A,1105
60616,209,N/A,931
60617,414,N/A,1782
60618,404,N/A,1575
60619,482,N/A,1746
60620,526,N/A,1675
60621,250,N/A,793
60622,250,N/A,1044
60623,718,N/A,1716
60624,352,N/A,1170
60625,400,N/A,1300
60626,350,N/A,1197
60628,455,N/A,1633
60629,745,N/A,1876
60630,232,N/A,1179
60631,111,N/A,907
60632,589,N/A,1470
60633,65,N/A,265
60634,447,N/A,2288
60636,290,N/A,742
60637,279,N/A,1281
60638,334,N/A,1377
60639,762,N/A,2002
60640,333,N/A,1179
60641,366,N/A,1345
60642,55,N/A,349
60643,392,N/A,1393
60644,431,N/A,1318
60645,541,N/A,1566
60646,91,N/A,672
60647,336,N/A,1477
60649,359,N/A,1377
60651,477,N/A,1412
60652,262,N/A,831
60653,259,N/A,964
60654,86,N/A,307
60655,148,N/A,861
60656,114,N/A,769
60657,178,N/A,1046
60659,311,N/A,859
60660,184,N/A,649
60661,22,N/A,129
60706,115,N/A,605
60707,231,N/A,1114
60712,88,N/A,339
60714,224,N/A,637
60803,82,N/A,377
60804,574,N/A,1553
60805,97,N/A,317
60827,156,N/A,564
60901,177,N/A,726
60914,51,N/A,370
60915,18,N/A,164
60950,16,N/A,171
60954,9,N/A,68
60958,7,N/A,37
60964,9,N/A,65
61008,50,N/A,190
61016,13,N/A,62
61021,12,N/A,291
61032,10,N/A,129
61065,9,N/A,59
61068,58,N/A,258
61071,15,N/A,57
61073,8,N/A,88
61080,6,N/A,41
61081,22,N/A,71
61101,19,N/A,166
61102,32,N/A,119
61103,29,N/A,201
61104,24,N/A,120
61107,18,N/A,196
61108,46,N/A,198
61109,34,N/A,170
61111,10,N/A,122
61114,20,N/A,92
61115,11,N/A,124
61201,56,N/A,173
61235,6,N/A,20
61241,12,N/A,68
61244,87,N/A,213
61252,7,N/A,36
61264,11,N/A,54
61265,82,N/A,293
61282,20,N/A,73
61342,8,N/A,44
61401,21,N/A,192
61462,35,N/A,80
61554,8,N/A,168
61603,7,N/A,150
61604,11,N/A,181
61611,13,N/A,127
61614,15,N/A,144
61615,12,N/A,125
61701,33,N/A,593
61704,17,N/A,445
61705,7,N/A,173
61761,18,N/A,487
61764,8,N/A,124
61801,13,N/A,230
61802,17,N/A,238
61820,7,N/A,223
61821,11,N/A,325
61822,26,N/A,295
61832,6,N/A,219
61853,8,N/A,166
61874,6,N/A,95
61910,6,N/A,36
61920,10,N/A,89
61938,9,N/A,130
62002,40,N/A,124
62010,8,N/A,27
62024,7,N/A,18
62025,72,N/A,65
62034,21,N/A,28
62035,8,N/A,44
62040,39,N/A,219
62052,9,N/A,50
62056,8,N/A,87
62060,7,N/A,31
62069,7,N/A,41
62090,6,N/A,9
62095,9,N/A,39
62201,8,N/A,22
62203,13,N/A,23
62204,10,N/A,22
62205,12,N/A,29
62206,33,N/A,52
62207,21,N/A,19
62208,23,N/A,82
62220,34,N/A,93
62221,31,N/A,102
62223,24,N/A,51
62226,53,N/A,99
62231,27,N/A,104
62233,38,N/A,136
62234,22,N/A,84
62236,31,N/A,80
62249,9,N/A,59
62254,9,N/A,48
62258,12,N/A,52
62265,8,N/A,23
62269,32,N/A,124
62278,13,N/A,47
62286,10,N/A,62
62288,9,N/A,41
62294,10,N/A,42
62295,6,N/A,9
62298,25,N/A,79
62301,15,N/A,165
62305,13,N/A,66
62448,38,N/A,144
62454,6,N/A,66
62471,14,N/A,73
62521,69,N/A,390
62522,16,N/A,53
62526,12,N/A,117
62568,24,N/A,132
62618,14,N/A,73
62650,14,N/A,144
62684,9,N/A,35
62702,18,N/A,311
62703,8,N/A,218
62704,8,N/A,317
62707,7,N/A,67
62711,11,N/A,128
62801,41,N/A,294
62864,69,N/A,333
62901,45,N/A,250
62959,12,N/A,200
62966,8,N/A,125
62992,11,N/A,34
